Date (YYYY-MM-DD),Event (No School / Half Day / Holiday / PD),School
2025-08-25 00:00:00,First Day (Half Day),Clio Schools
2025-08-28 00:00:00,No School,Clio Schools
2025-08-29 00:00:00,No School,Clio Schools
2025-09-01 00:00:00,No School,Clio Schools
2025-09-15 00:00:00,Early Release,Clio Schools
2025-10-14 00:00:00,Early Release,Clio Schools
2025-10-23 00:00:00,Half Day,Clio Schools
2025-10-24 00:00:00,No School,Clio Schools
2025-11-18 00:00:00,Early Release,Clio Schools
2025-11-26 00:00:00,No School,Clio Schools
2025-11-27 00:00:00,No School,Clio Schools
2025-11-28 00:00:00,No School,Clio Schools
2025-12-16 00:00:00,Early Release,Clio Schools
2025-12-22 00:00:00,No School,Clio Schools
2025-12-23 00:00:00,No School,Clio Schools
2025-12-24 00:00:00,No School,Clio Schools
2025-12-25 00:00:00,No School,Clio Schools
2025-12-26 00:00:00,No School,Clio Schools
2025-12-29 00:00:00,No School,Clio Schools
2025-12-30 00:00:00,No School,Clio Schools
2025-12-31 00:00:00,No School,Clio Schools
2026-01-01 00:00:00,No School,Clio Schools
2026-01-02 00:00:00,No School,Clio Schools
2026-01-12 00:00:00,Half Day,Clio Schools
2026-01-13 00:00:00,Half Day,Clio Schools
2026-01-19 00:00:00,No School,Clio Schools
2026-01-20 00:00:00,Early Release,Clio Schools
2026-02-13 00:00:00,Half Day,Clio Schools
2026-02-16 00:00:00,No School,Clio Schools
2026-02-17 00:00:00,Early Release,Clio Schools
2026-03-13 00:00:00,Half Day,Clio Schools
2026-03-16 00:00:00,Early Release,Clio Schools
2026-03-30 00:00:00,No School,Clio Schools
2026-03-31 00:00:00,No School,Clio Schools
2026-04-01 00:00:00,No School,Clio Schools
2026-04-02 00:00:00,No School,Clio Schools
2026-04-03 00:00:00,No School,Clio Schools
2026-04-20 00:00:00,Early Release,Clio Schools
2026-05-19 00:00:00,Early Release,Clio Schools
2026-05-25 00:00:00,No School,Clio Schools
2026-06-04 00:00:00,Half Day (Last Day),Clio Schools
2026-06-05 00:00:00,Half Day (Last Day),Clio Schools
2025-09-01 00:00:00,No School,Kearsley Schools
2025-09-26 00:00:00,No School,Kearsley Schools
2025-10-31 00:00:00,Half Day,Kearsley Schools
2025-11-05 00:00:00,No School,Kearsley Schools
2025-11-26 00:00:00,Half Day,Kearsley Schools
2025-11-27 00:00:00,No School,Kearsley Schools
2025-11-28 00:00:00,No School,Kearsley Schools
2025-12-19 00:00:00,Half Day,Kearsley Schools
2025-12-22 00:00:00,No School,Kearsley Schools
2025-12-23 00:00:00,No School,Kearsley Schools
2025-12-24 00:00:00,No School,Kearsley Schools
2025-12-25 00:00:00,No School,Kearsley Schools
2025-12-26 00:00:00,No School,Kearsley Schools
2025-12-29 00:00:00,No School,Kearsley Schools
2025-12-30 00:00:00,No School,Kearsley Schools
2025-12-31 00:00:00,No School,Kearsley Schools
2026-01-01 00:00:00,No School,Kearsley Schools
2026-01-02 00:00:00,No School,Kearsley Schools
2026-01-19 00:00:00,No School,Kearsley Schools
2026-01-23 00:00:00,Half Day,Kearsley Schools
2026-02-13 00:00:00,Half Day,Kearsley Schools
2026-02-16 00:00:00,No School,Kearsley Schools
2026-03-06 00:00:00,No School,Kearsley Schools
2026-03-27 00:00:00,Half Day,Kearsley Schools
2026-03-30 00:00:00,No School,Kearsley Schools
2026-03-31 00:00:00,No School,Kearsley Schools
2026-04-01 00:00:00,No School,Kearsley Schools
2026-04-02 00:00:00,No School,Kearsley Schools
2026-04-03 00:00:00,No School,Kearsley Schools
2026-05-22 00:00:00,Half Day,Kearsley Schools
2026-05-25 00:00:00,No School,Kearsley Schools
2026-06-09 00:00:00,Half Day,Kearsley Schools
2026-06-10 00:00:00,Half Day (Last Day of School),Kearsley Schools
2025-09-01 00:00:00,No School,Fenton Area Public Schools
2025-11-26 00:00:00,No School,Fenton Area Public Schools
2025-11-27 00:00:00,No School,Fenton Area Public Schools
2025-11-28 00:00:00,No School,Fenton Area Public Schools
2025-12-22 00:00:00,No School,Fenton Area Public Schools
2025-12-23 00:00:00,No School,Fenton Area Public Schools
2025-12-24 00:00:00,No School,Fenton Area Public Schools
2025-12-25 00:00:00,No School,Fenton Area Public Schools
2025-12-26 00:00:00,No School,Fenton Area Public Schools
2025-12-29 00:00:00,No School,Fenton Area Public Schools
2025-12-30 00:00:00,No School,Fenton Area Public Schools
2025-12-31 00:00:00,No School,Fenton Area Public Schools
2026-01-01 00:00:00,No School,Fenton Area Public Schools
2026-01-02 00:00:00,No School,Fenton Area Public Schools
2026-03-30 00:00:00,No School,Fenton Area Public Schools
2026-03-31 00:00:00,No School,Fenton Area Public Schools
2026-04-01 00:00:00,No School,Fenton Area Public Schools
2026-04-02 00:00:00,No School,Fenton Area Public Schools
2026-04-03 00:00:00,No School,Fenton Area Public Schools
2026-05-01 00:00:00,No School,Fenton Area Public Schools
2026-05-15 00:00:00,Half Day,Fenton Area Public Schools
2026-05-22 00:00:00,Half Day,Fenton Area Public Schools
2026-05-29 00:00:00,Half Day,Fenton Area Public Schools
2025-08-25 00:00:00,Half Day (First Day of School),Bentley Community Schools
2025-08-29 00:00:00,No School,Bentley Community Schools
2025-09-01 00:00:00,No School,Bentley Community Schools
2025-09-24 00:00:00,Half Day,Bentley Community Schools
2025-10-10 00:00:00,No School,Bentley Community Schools
2025-10-22 00:00:00,Half Day,Bentley Community Schools
